position,sku,make,model,part_name,category,oem_number,oem_status,catalog_page,image_path,landing_page
134,PGE-FET-134,Fette,2090 WiP,PUNCH GUIDE SEAL 1” UNKEYED ALUMINUM CASING,Turret Hardware,3115549,catalog-supplied,28,/assets/images/parts/fette/pge-fet-134.png,/parts/pge-fet-134/
135,PGE-FET-135,Fette,2090 WiP,PUNCH RESTRAINER 19,Turret Hardware,3772705,catalog-supplied,28,/assets/images/parts/fette/pge-fet-135.png,/parts/pge-fet-135/
136,PGE-FET-136,Fette,2090 WiP,LUBE FELT/HEAD IPT1” EU1” FLAT,Upper Cam Tracks,3133026,catalog-supplied,28,/assets/images/parts/fette/pge-fet-136.png,/parts/pge-fet-136/
137,PGE-FET-137,Fette,2090 WiP,"LUBE FELT FOR FLAT CAMS IPT 19 , EU 19",Upper Cam Tracks,3119463,catalog-supplied,28,/assets/images/parts/fette/pge-fet-137.png,/parts/pge-fet-137/
138,PGE-FET-138,Fette,2090 WiP,HOLDING LEDGE PRE/MAIN COMPR. IPT 19,Upper Cam Tracks,3117723,catalog-supplied,28,/assets/images/parts/fette/pge-fet-138.png,/parts/pge-fet-138/
139,PGE-FET-139,Fette,2090 WiP,PLASTIC PRESSURE LEDGE PRE- MAIN COMPRESSION,Upper Cam Tracks,3117637,catalog-supplied,28,/assets/images/parts/fette/pge-fet-139.png,/parts/pge-fet-139/
140,PGE-FET-140,Fette,2090 WiP,OUTER SHANK FELT 66.3X26X5,Upper Cam Tracks,3126487,catalog-supplied,28,/assets/images/parts/fette/pge-fet-140.png,/parts/pge-fet-140/
141,PGE-FET-141,Fette,2100i,18 MM FILL CAM - EU1 - 441,Lower Cam Tracks,Needed,needed,29,/assets/images/parts/fette/pge-fet-141.png,/parts/pge-fet-141/
142,PGE-FET-142,Fette,2100i,12 MM FILL CAM - EU1 - 441,Lower Cam Tracks,Needed,needed,29,/assets/images/parts/fette/pge-fet-142.png,/parts/pge-fet-142/
143,PGE-FET-143,Fette,2100i,16 MM FILL CAM - EU1 - 441,Lower Cam Tracks,Needed,needed,29,/assets/images/parts/fette/pge-fet-143.png,/parts/pge-fet-143/
144,PGE-FET-144,Fette,2200i,20MM FILL CAM EU 1”-441 FOR MAGNESIUM STEARATE SYSTEM,Lower Cam Tracks,3138706,catalog-supplied,30,/assets/images/parts/fette/pge-fet-144.png,/parts/pge-fet-144/
145,PGE-FET-145,Fette,2200i,18MM FILL CAM - EU 19,Lower Cam Tracks,3110900,catalog-supplied,30,/assets/images/parts/fette/pge-fet-145.png,/parts/pge-fet-145/
146,PGE-FET-146,Fette,2200i,10 MM FILL CAM - EU 19,Lower Cam Tracks,3110614,catalog-supplied,30,/assets/images/parts/fette/pge-fet-146.png,/parts/pge-fet-146/
147,PGE-FET-147,Fette,2200i,12MM FILL CAM - EU1-441,Lower Cam Tracks,Needed,needed,30,/assets/images/parts/fette/pge-fet-147.png,/parts/pge-fet-147/
148,PGE-FET-148,Fette,2200i,6MM FILL CAM - EU1-441,Lower Cam Tracks,3114440,catalog-supplied,30,/assets/images/parts/fette/pge-fet-148.png,/parts/pge-fet-148/
149,PGE-FET-149,Fette,2200i,16MM FILL CAM - EU1 - 441,Lower Cam Tracks,Needed,needed,30,/assets/images/parts/fette/pge-fet-149.png,/parts/pge-fet-149/
150,PGE-FET-150,Fette,2200i,FILLING CAM 6MM - EU 1,Lower Cam Tracks,Needed,needed,30,/assets/images/parts/fette/pge-fet-150.png,/parts/pge-fet-150/
151,PGE-FET-151,Fette,2200i,FILLING CAM - 20MM - IPT 1”,Lower Cam Tracks,Needed,needed,30,/assets/images/parts/fette/pge-fet-151.png,/parts/pge-fet-151/
152,PGE-FET-152,Fette,2200i,PULL DOWN CAM - PLASTIC - EU 19,Lower Cam Tracks,Needed,needed,30,/assets/images/parts/fette/pge-fet-152.png,/parts/pge-fet-152/
153,PGE-FET-153,Fette,2200i,FILLING CAM 14MM - EU 19,Lower Cam Tracks,Needed,needed,30,/assets/images/parts/fette/pge-fet-153.png,/parts/pge-fet-153/
154,PGE-FET-154,Fette,2200i,FILLING CAM 20MM - EU 19,Lower Cam Tracks,Needed,needed,30,/assets/images/parts/fette/pge-fet-154.png,/parts/pge-fet-154/
155,PGE-FET-155,Fette,2200i,SCRAPER - BRONZE,Product Control,Needed,needed,30,/assets/images/parts/fette/pge-fet-155.png,/parts/pge-fet-155/
156,PGE-FET-156,Fette,2200i,SCRAPER - PEEK,Product Control,Needed,needed,30,/assets/images/parts/fette/pge-fet-156.png,/parts/pge-fet-156/
157,PGE-FET-157,Fette,2200i,SCRAPER - STAINLESS,Product Control,Needed,needed,30,/assets/images/parts/fette/pge-fet-157.png,/parts/pge-fet-157/
158,PGE-FET-158,Fette,2200i,SLIDE-IN DELRIN SEAL FOR STANDARD F-O-M TABLETS TO 25MM,Product Control,Needed,needed,30,/assets/images/parts/fette/pge-fet-158.png,/parts/pge-fet-158/
159,PGE-FET-159,Fette,2200i,SLIDE-IN SEAL F-O-M TABLETS TO 25MM - STAINLESS,Product Control,Needed,needed,31,/assets/images/parts/fette/pge-fet-159.png,/parts/pge-fet-159/
160,PGE-FET-160,Fette,2200i,SLIDE-IN SEAL F-O-M TABLETS TO 25MM - TITANIUM,Product Control,Needed,needed,31,/assets/images/parts/fette/pge-fet-160.png,/parts/pge-fet-160/
161,PGE-FET-161,Fette,2200i,FILLING WHEEL - STAINLESS,Product Control,Needed,needed,31,/assets/images/parts/fette/pge-fet-161.png,/parts/pge-fet-161/
162,PGE-FET-162,Fette,2200i,METERING WHEEL W/FLAT RODS - STAINLESS,Product Control,Needed,needed,31,/assets/images/parts/fette/pge-fet-162.png,/parts/pge-fet-162/
163,PGE-FET-163,Fette,2200i,REVERSE DOSING WHEEL W/ FLAT RODS - STAINLESS,Product Control,Needed,needed,31,/assets/images/parts/fette/pge-fet-163.png,/parts/pge-fet-163/
